name,x,y,obverse_group,reverse_group
A\2986,10.767126,6.8456135,15,2
A\2987,9.38831,5.5322704,15,12
A\2989,12.06176,3.8668413,3,4
A\2990,9.216981,6.29261,3,14
A\2991,11.251857,3.3430493,4,12
A\2992,10.677365,6.1379733,3,11
A\2993,10.425547,3.8557558,4,14
A\2994,10.518351,5.0657864,4,14
A\2995,10.460627,4.0951996,3,14
A\2996,10.522899,4.206692,3,14
A\2997,12.079176,6.4154277,15,1
A\2998,9.488597,7.59848,3,14
A\2999,12.218442,5.9523497,3,4
A\3000,11.601491,5.5459223,3,12
A\3001,12.087957,3.8285377,3,14
A\3003,11.715282,5.682822,3,4
A\3004,8.634824,5.63077,6,4
A\3005,10.182137,5.8364735,3,14
A\3006,11.641527,5.5332017,3,14
A\3007,11.497832,4.5483394,15,3
A\3008,12.165761,5.7515035,16,14
A\3009,10.759865,6.343246,15,4
A\3010,12.194418,5.8839645,3,14
A\3011,11.040849,3.1674435,18,12
A\3012,11.762715,5.720755,15,4
A\3013,8.119935,5.8868747,6,1
A\3014,11.055657,3.5595922,3,4
A\3015,12.192595,5.900014,3,14
A\3016,12.390187,3.8038259,18,14
A\3017,10.130106,3.23148,18,3
A\301,12.42188,5.218508,10,16
A\303,11.005789,7.243214,15,12
A\309,11.0442095,7.2798305,15,7
A\310,11.0726,7.292293,3,4
A\3134,6.814902,6.199396,7,6
A\3136,4.744618,3.416993,17,6
A\3137,10.56688,2.620764,18,3
A\3156,11.724196,5.7442036,16,6
A\3190,6.315632,2.5445905,5,3
A\3194,6.245137,2.6696172,17,3
A\3420,11.66791,5.9161057,15,12
A\3422,9.892389,3.8878527,13,12
A\3429,9.821076,5.2192774,15,12
A\3443,11.08378,4.2907324,4,12
A\3449,12.163377,5.7018356,16,12
A\3461,8.603876,5.8829446,6,4
A\3579,3.7507935,7.2740483,7,19
A\3580,2.3892245,4.7787127,14,7
A\3583,6.801248,3.4539652,8,7
A\3584,1.630629,3.8124654,14,7
A\3587,3.1779692,5.517309,2,0
A\3589,2.9252808,4.0549455,14,7
A\3590,1.1365687,5.6313734,8,19
A\3591,1.115713,3.9850802,10,10
A\3592,1.3933489,4.5347047,8,17
A\3593,2.8711894,6.660684,14,7
A\3595,1.6005663,6.809834,14,17
A\3596,1.7772849,6.0861335,8,17
A\3597,3.1253712,5.4535327,14,7
A\3598,1.0299877,4.3576956,8,0
A\3599,1.1798302,4.9587436,8,16
A\3600,1.9992613,6.976252,2,5
A\3601,4.6693377,6.9255486,7,17
A\3603,3.2341173,5.4704423,14,17
A\3604,1.6532578,6.856224,14,8
A\3605,1.9873664,7.026684,7,17
A\3609,1.7242993,6.6774144,8,17
A\3610,1.641499,3.7923973,14,10
A\3611,2.840036,4.1427135,14,17
A\3612,0.71181077,5.5401196,8,19
A\3613,4.4251394,7.4153976,7,10
A\3614,3.514019,5.2150803,14,8
A\3616,3.7130737,5.4240246,14,8
A\3617,0.99572116,4.2343063,8,7
A\3618,4.632703,6.323155,7,7
A\3620,1.6289134,3.677375,8,7
A\3621,1.6552014,3.638981,8,17
A\3622,2.2266958,6.7683525,7,18
A\3623,2.6046898,4.0669403,14,18
A\3624,3.057269,4.437914,14,0
A\3626,1.4097409,3.8152993,10,0
A\3627,1.0184826,5.6690726,8,16
A\3628,0.903821,4.15598,8,7
A\3629,4.691955,6.6466126,7,10
A\3630,2.9432144,4.694511,7,5
A\3631,3.0329516,4.7092633,14,18
A\3632,4.512587,6.4761586,7,18
A\3633,0.8671959,5.690647,8,17
A\3634,4.2365575,6.108009,7,0
A\3635,1.077073,6.249763,8,7
A\3636,2.0742455,6.398495,2,10
A\3637,2.066062,6.391259,7,5
A\3638,2.2734263,6.7903986,7,5
A\3639,2.3058593,6.7262664,7,5
A\3640,2.3245816,6.691859,14,19
A\3641,3.9400024,6.1023016,7,8
A\3642,3.9132812,6.1061,7,8
A\3643,2.804421,4.1066628,14,10
A\3644,3.8905883,7.6866603,7,8
A\3645,3.7894583,7.2545147,7,5
A\3646,3.8835046,5.9102883,7,0
A\3647,3.9713943,6.1982226,7,17
A\3648,3.9294677,6.2528048,7,10
A\3649,3.39529,6.1024776,7,0
A\3650,0.615403,5.3602386,11,19
A\3651,0.9807214,5.8232703,8,19
A\3652,1.2783217,3.9224803,10,10
A\3653,2.7270103,4.395568,14,10
A\3654,0.9239899,4.7310834,8,8
A\3655,3.2155015,5.4182224,14,18
A\3656,2.0614018,6.3185606,14,8
A\3657,0.9058699,4.737164,8,10
A\3658,3.1163688,5.9816604,7,18
A\3659,2.6560018,6.6454763,7,0
A\3660,3.0786424,5.1090913,14,5
A\3661,2.9447858,4.9311934,14,18
A\3662,0.9042218,4.483874,8,18
A\3663,4.766934,6.380055,7,7
