filename,bgmm_cluster,hdbscan_cluster
A\3589_a.jpg,5,1
A\3590_a.jpg,5,1
A\3591_a.jpg,9,1
A\3592_a.jpg,10,1
A\3593_a.jpg,7,1
A\3595_a.jpg,5,1
A\3596_a.jpg,5,1
A\3597_a.jpg,5,1
A\3598_a.jpg,17,1
A\3599_a.jpg,10,1
A\3600_a.jpg,5,1
A\3601_a.jpg,11,1
A\3603_a.jpg,7,1
A\3604_a.jpg,5,1
A\3605_a.jpg,11,1
A\3609_a.jpg,5,1
A\3610_a.jpg,5,1
A\3611_a.jpg,5,1
A\3612_a.jpg,3,1
A\3613_a.jpg,11,1
A\3614_a.jpg,12,1
A\3616_a.jpg,7,1
A\3617_a.jpg,17,1
A\3618_a.jpg,11,1
A\3620_a.jpg,10,1
A\3621_a.jpg,10,1
A\3622_a.jpg,7,1
A\3623_a.jpg,12,1
A\3624_a.jpg,12,1
A\3626_a.jpg,10,1
A\3627_a.jpg,5,1
A\3628_a.jpg,17,1
A\3629_a.jpg,11,1
A\3630_a.jpg,11,1
A\3631_a.jpg,12,1
A\3632_a.jpg,11,1
A\3633_a.jpg,5,1
A\3634_a.jpg,11,1
A\3635_a.jpg,5,1
A\3636_a.jpg,7,1
A\3637_a.jpg,7,1
A\3638_a.jpg,11,1
A\3639_a.jpg,7,1
A\3640_a.jpg,5,1
A\3641_a.jpg,11,1
A\3642_a.jpg,11,1
A\3643_a.jpg,12,1
A\3644_a.jpg,11,1
A\3645_a.jpg,11,1
A\3646_a.jpg,11,1
A\3647_a.jpg,11,1
A\3648_a.jpg,11,1
A\3649_a.jpg,7,1
A\3650_a.jpg,3,1
A\3651_a.jpg,5,1
A\3652_a.jpg,9,1
A\3653_a.jpg,12,1
A\3654_a.jpg,17,1
A\3655_a.jpg,19,1
A\3656_a.jpg,7,1
A\3657_a.jpg,17,1
A\3658_a.jpg,7,1
A\3659_a.jpg,7,1
A\3660_a.jpg,7,1
A\3661_a.jpg,7,1
A\3662_a.jpg,5,1
A\3663_a.jpg,11,1
A\3664_a.jpg,11,1
A\3665_a.jpg,11,1
A\3666_a.jpg,12,1
A\3667_a.jpg,17,1
A\3668_a.jpg,12,1
A\3669_a.jpg,3,1
A\3670_a.jpg,17,1
A\3672_a.jpg,7,1
A\3673_a.jpg,12,1
A\3674_a.jpg,5,1
A\3675_a.jpg,9,1
A\3676_a.jpg,19,1
A\3677_a.jpg,12,1
A\3678_a.jpg,12,1
A\3679_a.jpg,7,1
A\3680_a.jpg,5,1
A\3681_a.jpg,19,1
A\3682_a.jpg,17,1
A\3683_a.jpg,12,1
A\3684_a.jpg,7,1
A\3685_a.jpg,12,1
A\3687_a.jpg,11,1
A\3688_a.jpg,5,1
A\3689_a.jpg,9,1
A\3690_a.jpg,11,1
A\3691_a.jpg,7,1
A\3692_a.jpg,11,1
A\3693_a.jpg,11,1
A\3694_a.jpg,12,1
A\3695_a.jpg,11,1
A\3696_a.jpg,12,1
A\3697_a.jpg,12,1
A\3698_a.jpg,11,1
A\3699_a.jpg,11,1
A\3700_a.jpg,5,1
A\3701_a.jpg,11,1
A\3702_a.jpg,7,1
A\3703_a.jpg,11,1
A\3704_a.jpg,11,1
A\3705_a.jpg,11,1
A\3706_a.jpg,11,1
A\3707_a.jpg,7,1
A\3708_a.jpg,7,1
A\3709_a.jpg,17,1
A\3710_a.jpg,7,1
A\3711_a.jpg,17,1
A\3712_a.jpg,9,1
A\3713_a.jpg,10,1
A\3714_a.jpg,19,1
A\3715_a.jpg,5,1
A\3716_a.jpg,10,1
A\3717_a.jpg,19,1
A\3718_a.jpg,17,1
A\3719_a.jpg,17,1
A\3720_a.jpg,7,1
A\3721_a.jpg,7,1
A\3722_a.jpg,7,1
A\3723_a.jpg,7,1
A\3724_a.jpg,7,1
A\3725_a.jpg,12,1
A\3726_a.jpg,17,1
A\3727_a.jpg,11,1
A\3728_a.jpg,11,1
A\3729_a.jpg,5,1
A\3730_a.jpg,11,1
A\3731_a.jpg,17,1
A\3732_a.jpg,7,1
A\3733_a.jpg,11,1
A\3734_a.jpg,5,1
A\3735_a.jpg,11,1
A\3736_a.jpg,12,1
A\3737_a.jpg,7,1
A\3738_a.jpg,19,1
A\3739_a.jpg,7,1
A\3740_a.jpg,11,1
A\3741_a.jpg,7,1
A\3742_a.jpg,7,1
A\3743_a.jpg,19,1
A\3744_a.jpg,17,1
A\3745_a.jpg,7,1
A\3746_a.jpg,12,1
A\3747_a.jpg,2,1
A\3748_a.jpg,11,1
A\3749_a.jpg,7,1
A\3750_a.jpg,3,1
A\3751_a.jpg,7,1
A\3752_a.jpg,11,1
A\3753_a.jpg,12,1
A\3754_a.jpg,5,1
A\3755_a.jpg,10,1
A\3756_a.jpg,11,1
A\3757_a.jpg,9,1
A\3758_a.jpg,11,1
A\3759_a.jpg,12,1
A\3760_a.jpg,5,1
A\3761_a.jpg,5,1
A\3762_a.jpg,5,1
A\3763_a.jpg,19,1
A\3764_a.jpg,5,1
A\3766_a.jpg,9,1
A\3769_a.jpg,7,1
A\3770_a.jpg,19,1
A\3771_a.jpg,12,1
A\3772_a.jpg,10,1
A\3773_a.jpg,7,1
A\3774_a.jpg,7,1
A\3775_a.jpg,7,1
A\3776_a.jpg,10,1
A\3777_a.jpg,17,1
A\3778_a.jpg,9,1
A\3779_a.jpg,19,1
A\3780_a.jpg,11,1
A\3781_a.jpg,7,1
A\3782_a.jpg,7,1
A\3783_a.jpg,7,1
A\3784_a.jpg,7,1
A\3785_a.jpg,7,1
A\3786_a.jpg,9,1
A\3787_a.jpg,11,1
A\3788_a.jpg,7,1
A\3789_a.jpg,9,1
A\3790_a.jpg,19,1
A\3791_a.jpg,2,1
A\3792_a.jpg,19,1
A\3793_a.jpg,3,1
A\3794_a.jpg,3,1
A\3795_a.jpg,19,1
A\3796_a.jpg,19,1
A\3797_a.jpg,12,1
A\3798_a.jpg,19,1
A\3799_a.jpg,19,1
A\3800_a.jpg,11,1
A\3801_a.jpg,19,1
A\3802_a.jpg,11,1
A\3803_a.jpg,7,1
A\3804_a.jpg,7,1
A\3805_a.jpg,7,1
A\3806_a.jpg,11,1
A\3807_a.jpg,19,1
A\3808_a.jpg,7,1
A\3809_a.jpg,11,1
A\3810_a.jpg,7,1
A\3811_a.jpg,19,1
A\3812_a.jpg,9,1
A\3813_a.jpg,12,1
A\3814_a.jpg,19,1
A\3815_a.jpg,19,1
A\3816_a.jpg,12,1
A\3817_a.jpg,11,1
A\3818_a.jpg,12,1
A\3819_a.jpg,5,1
A\3820_a.jpg,7,1
A\3821_a.jpg,11,1
A\3822_a.jpg,10,1
A\3823_a.jpg,11,1
A\3824_a.jpg,12,1
A\3825_a.jpg,12,1
A\3826_a.jpg,17,1
A\3827_a.jpg,17,1
A\3828_a.jpg,5,1
A\3829_a.jpg,19,1
A\3830_a.jpg,19,1
A\3831_a.jpg,7,1
A\3832_a.jpg,7,1
A\3833_a.jpg,5,1
A\3834_a.jpg,5,1
A\3835_a.jpg,9,1
A\3836_a.jpg,9,1
A\3837_a.jpg,9,1
A\3838_a.jpg,9,1
A\3839_a.jpg,9,1
A\3840_a.jpg,5,1
A\3841_a.jpg,11,1
A\3842_a.jpg,19,1
A\3843_a.jpg,10,1
A\3844_a.jpg,10,1
A\3845_a.jpg,7,1
A\3846_a.jpg,7,1
A\3847_a.jpg,19,1
A\3848_a.jpg,10,1
A\3849_a.jpg,19,1
A\3850_a.jpg,17,1
A\3851_a.jpg,12,1
A\3852_a.jpg,7,1
A\3853_a.jpg,19,1
A\3854_a.jpg,19,1
A\3855_a.jpg,19,1
A\3856_a.jpg,9,1
A\3857_a.jpg,7,1
A\3858_a.jpg,7,1
A\3859_a.jpg,7,1
A\3860_a.jpg,11,1
A\3861_a.jpg,19,1
A\3862_a.jpg,11,1
A\3863_a.jpg,7,1
A\3864_a.jpg,5,1
A\3865_a.jpg,10,1
A\3866_a.jpg,9,1
A\3867_a.jpg,7,1
A\3868_a.jpg,7,1
A\3869_a.jpg,11,1
A\3870_a.jpg,7,1
A\3871_a.jpg,19,1
A\3872_a.jpg,7,1
A\3873_a.jpg,17,1
A\3874_a.jpg,12,1
A\3875_a.jpg,19,1
A\3876_a.jpg,5,1
A\3877_a.jpg,10,1
A\3879_a.jpg,10,1
B\2243_a.jpg,18,1
B\2261_a.jpg,1,1
B\2275_a.jpg,12,1
B\2276_a.jpg,15,1
B\2282_a.jpg,12,1
B\2285_a.jpg,14,1
B\2288_a.jpg,0,1
B\2338_a.jpg,8,1
B\2354_a.jpg,8,1
B\2370_a.jpg,8,1
B\2434_a.jpg,18,1
B\2445_a.jpg,16,1
B\2461_a.jpg,16,1
B\2465_a.jpg,4,1
B\2477_a.jpg,1,1
B\2499_a.jpg,4,-1
B\258_a.jpg,10,-1
B\259_a.jpg,10,0
B\2607_a.jpg,4,1
B\2637_a.jpg,16,1
B\270_a.jpg,10,-1
B\2732_a.jpg,4,1
B\2765_a.jpg,18,1
B\2766_a.jpg,6,1
B\2771_a.jpg,6,1
B\2773_a.jpg,18,1
B\2775_a.jpg,1,1
B\2793_a.jpg,2,1
B\2798_a.jpg,14,1
B\2799_a.jpg,6,1
B\2800_a.jpg,1,1
B\2804_a.jpg,15,1
B\2806_a.jpg,14,1
B\2819_a.jpg,11,1
B\2825_a.jpg,18,1
B\2826_a.jpg,18,1
B\2840_a.jpg,14,1
B\2842_a.jpg,18,1
B\2847_a.jpg,1,1
B\2854_a.jpg,14,1
B\2864_a.jpg,14,1
B\2865_a.jpg,14,1
B\2872_a.jpg,14,1
B\2903_a.jpg,1,1
B\2908_a.jpg,1,1
B\2947_a.jpg,4,1
B\2959_a.jpg,6,1
B\2988_a.jpg,15,1
B\3019_a.jpg,13,1
B\3140_a.jpg,4,1
B\3143_a.jpg,19,1
B\3157_a.jpg,15,1
B\3165_a.jpg,16,1
B\3166_a.jpg,0,1
B\3191_a.jpg,11,1
B\3193_a.jpg,8,1
B\3360_a.jpg,13,1
B\3424_a.jpg,2,1
B\3428_a.jpg,1,1
B\3431_a.jpg,6,1
B\3434_a.jpg,1,1
B\3435_a.jpg,16,1
B\3582_a.jpg,11,1
B\3585_a.jpg,19,1
B\3586_a.jpg,12,1
B\3588_a.jpg,12,1
B\3602_a.jpg,10,1
B\3606_a.jpg,17,1
B\3607_a.jpg,12,1
B\3608_a.jpg,5,1
B\3615_a.jpg,12,1
B\3619_a.jpg,9,1
B\3686_a.jpg,11,1
B\3765_a.jpg,17,1
B\3767_a.jpg,7,1
B\3768_a.jpg,7,1
B\3878_a.jpg,11,1
