base_name,x,y,obverse_group
2996,6.6818924,4.5872135,0
2997,4.7069044,5.9000974,5
2998,4.7664475,5.495307,5
2999,4.6874256,5.6317196,5
3000,4.271745,5.866962,5
3001,4.821533,5.600091,5
3003,4.345358,5.8015046,5
3004,6.5730696,4.645551,10
3006,6.503925,4.5791535,0
3007,4.3429933,5.8111634,5
3008,4.7805157,5.6821656,5
3009,4.269299,5.9283037,5
3010,7.1205797,4.588188,0
3011,5.0314426,5.4770427,5
3012,4.4332933,5.7074757,5
3013,6.8590674,4.682486,0
3014,5.144954,5.2866664,6
3015,4.2426796,6.696635,25
3016,4.604291,5.54609,5
3019,5.0302315,5.7582464,5
3134,6.505048,5.218456,29
3136,8.282528,5.9369135,16
3140,6.5478587,6.5953536,3
3143,7.2668996,6.873341,16
3156,5.879656,8.019331,28
3165,7.0011754,7.713521,9
3166,6.975715,6.4913106,16
3191,7.0196877,6.878767,16
3360,6.733796,7.121647,9
3420,5.5184727,8.113602,25
3422,6.821479,5.0911646,29
3424,6.722182,6.500546,16
3428,6.592568,8.286447,13
3429,7.917601,5.755057,21
3431,6.8100486,6.3200846,29
3434,5.544957,6.966753,12
3435,5.4318204,6.761009,12
3443,5.9800844,7.9597893,28
3449,4.9727983,8.603972,25
3461,4.9122405,6.923535,12
3579,12.800926,2.7564702,4
3580,12.470883,3.3826702,26
3582,10.830154,5.0236235,26
3583,10.159126,3.4558527,24
3584,10.2686,5.447535,18
3585,11.378548,5.241229,19
3586,11.406834,4.8479743,26
3587,10.820959,2.9040756,23
3588,10.47996,4.889104,26
3589,12.564408,4.300399,19
3590,12.680036,2.9265087,4
3591,12.094106,3.275174,4
3592,9.21938,4.5876265,14
3593,10.25951,4.4766088,22
3595,9.990369,5.275636,18
3596,8.965088,3.1139932,7
3597,10.30038,4.5551653,26
3598,12.2309065,5.7889824,22
3599,10.767017,4.416024,1
3600,8.635451,3.3673558,7
3601,11.13677,3.8119006,1
3602,10.528688,5.2055473,18
3603,11.6057205,4.8624744,1
3604,10.01421,2.607029,11
3605,8.536473,3.8580072,7
3606,9.67491,4.8558073,14
3607,11.190115,5.125643,26
3608,11.030113,5.1049433,26
3609,9.308063,3.4968507,22
3610,11.024029,2.9828303,23
3611,11.3027115,3.921421,22
3612,8.861761,3.202515,7
3613,8.271395,3.3585231,7
3614,11.210631,4.4547067,1
3615,10.99802,4.9721193,26
3616,11.29863,3.6134808,11
3617,10.905304,3.3794298,23
3618,12.681734,2.6385272,4
3619,12.31015,3.8414903,19
3620,9.583545,2.9812944,11
3621,10.539238,3.3469913,23
3622,6.7865653,4.6197424,10
3623,10.98068,4.37534,18
3624,11.320495,3.3568254,23
3626,11.427417,4.3765745,19
3627,8.15544,3.3271992,6
3628,12.559251,2.9726741,4
3629,12.544155,3.082984,4
3630,12.847764,3.3442247,4
3631,12.141566,3.9454544,19
3632,12.767386,2.8593302,4
3633,7.4731197,3.34722,6
3634,7.961753,3.1245732,6
3635,7.682492,3.2040665,6
3636,8.081075,2.8415585,6
3637,7.854125,3.0736818,6
3639,10.459518,3.0106037,23
3640,8.015353,3.134955,4
3641,12.767076,3.4069877,19
3642,12.828912,3.1171508,4
3643,12.381208,3.9044635,1
3644,11.140282,3.7379997,1
3645,8.4979,3.488934,7
3646,12.837206,2.8110602,4
3647,12.841804,2.729865,4
3648,12.614787,2.6912203,4
3649,8.104363,3.2441428,6
3651,10.838674,2.9430962,11
3652,12.40897,3.6516874,26
3653,12.200292,3.1652987,4
3654,8.955211,2.9069037,11
3655,11.561267,3.978846,1
3656,9.385713,4.883702,21
3657,10.154305,3.311001,24
3658,10.574718,3.1398764,23
3659,9.60225,2.773493,11
3660,9.418928,2.7960794,11
3661,12.541324,5.0654902,19
3662,9.270043,3.977232,7
3663,9.388719,3.4584842,7
3664,9.681321,2.8933506,11
3665,12.046927,4.4185047,1
3666,12.388026,5.303493,22
3667,12.385276,5.5537844,22
3668,12.504076,5.2275915,19
3669,8.190204,2.8855572,6
3670,11.530316,3.1035428,23
3672,8.651765,3.8872163,7
3673,10.334455,4.384384,22
3674,9.4464245,4.9944715,24
3675,11.897766,4.591085,19
3676,11.7825,4.3902874,19
3677,9.14565,3.9210763,7
3678,11.435175,2.8134778,23
3679,8.636713,3.6496463,7
3680,8.927158,3.7591426,7
3681,12.097717,5.172721,19
3682,12.099576,4.2633395,26
3683,12.634814,5.128527,26
3684,8.798401,4.0238867,7
3685,11.277126,3.6227634,23
3686,8.564076,4.5758758,10
3687,11.983901,5.3255844,22
3688,8.668133,4.626323,20
3689,11.414174,2.8483753,23
3690,11.483712,3.0259347,23
3691,12.029531,4.0027466,11
3692,10.258805,5.428106,18
3693,9.213129,5.1459584,21
3694,10.561475,5.6828704,28
3695,11.895972,3.9535012,1
3696,11.081274,4.4326763,1
3697,10.321557,5.509377,18
3698,10.53619,2.609741,11
3699,10.70162,3.194885,23
3700,11.235507,2.8344364,23
3701,12.428245,4.358836,19
3702,11.613754,3.459478,23
3703,8.725286,3.7632263,7
3704,11.118679,4.3081856,1
3705,10.933152,3.8942928,1
3706,9.044048,3.57089,7
3707,10.686328,3.5876276,23
3708,9.234895,4.717651,14
3709,10.149378,4.0282774,24
3710,9.498648,2.7325118,11
3711,9.1650915,3.4021387,11
3712,11.589627,4.7401924,19
3713,8.281148,2.810645,4
3714,10.10248,3.9389048,24
3715,7.7138357,3.1709075,6
3716,11.548781,5.624496,22
3717,9.535211,2.9905136,24
3718,12.789965,2.6750882,4
3719,12.780828,2.7451956,4
3720,9.02931,2.917805,11
3721,9.158968,3.5185347,7
3722,10.82933,2.9958096,23
3723,9.64174,3.6916401,14
3724,11.884566,5.647528,22
3725,12.216382,5.5829525,22
3726,12.680148,5.176088,19
3727,9.9236145,2.5313172,11
3728,9.96904,4.71858,21
3729,9.158344,4.566992,14
3730,10.583506,4.3647795,21
3731,11.3547125,4.767719,19
3732,9.712059,3.056964,24
3733,9.831984,2.6733818,11
3734,9.881521,2.7674189,11
3735,11.965879,5.304797,19
3736,11.775589,5.7664127,22
3737,12.475431,5.1662307,19
3738,11.808255,4.642294,19
3739,9.971517,2.3386815,11
3740,9.868618,3.009612,26
3741,10.207539,2.5406537,11
3742,9.057112,4.539589,14
3743,12.062763,4.851573,19
3744,12.572561,4.6282015,19
3745,12.470012,5.4040313,22
3746,11.844889,4.3757534,19
3747,10.755282,3.903614,5
3748,12.309025,4.353838,19
3749,8.810471,3.1706944,7
3750,7.826264,3.203199,6
3751,8.7610855,3.856049,7
3752,11.32076,2.7342856,23
3753,12.089477,5.5952206,22
3754,9.436051,5.0130744,21
3755,10.30788,4.066695,24
3756,9.467856,4.660476,24
3757,12.544335,4.691419,19
3758,12.529546,4.5587406,19
3759,10.796795,3.0503771,23
3760,11.035658,2.7983687,23
3761,12.601533,5.388933,11
3762,8.812188,3.3748693,7
3763,11.66377,3.5201316,23
3764,8.585711,3.7542367,7
3765,11.757014,4.7121677,19
3766,12.157807,4.46389,19
3767,11.168105,5.171226,26
3768,11.340987,4.5560665,1
3769,9.148765,5.151343,21
3770,9.852085,3.9645286,14
3771,11.422756,4.290128,26
3772,10.271177,3.3345218,24
3773,8.681988,2.8950171,6
3774,11.574319,4.125607,1
3775,9.802648,2.7769186,11
3776,12.013096,4.147299,11
3777,8.444559,3.4557977,7
3778,10.91458,3.105232,23
3779,10.445501,3.972267,4
3780,10.107377,4.1671677,24
3781,9.539966,4.46589,24
3782,10.216325,3.5041256,24
3783,9.376127,4.8573213,14
3784,8.590957,3.8051033,7
3785,9.549911,3.0914292,11
3786,11.8527565,5.729701,22
3787,11.405043,2.8213165,23
3788,10.698251,4.4467793,26
3789,11.573483,4.137672,1
3790,11.605325,3.086534,23
3791,11.050405,3.8769906,28
3792,11.420178,2.7294726,11
3793,7.2019176,4.346288,10
3794,6.705279,4.333857,0
3795,11.704768,4.4511337,1
3796,11.047488,4.08361,1
3797,12.422807,5.6791053,22
3798,11.149516,4.306701,1
3799,10.21482,4.2285476,18
3800,9.91575,3.1546624,26
3801,9.615073,4.793618,24
3802,10.343936,5.4579306,18
3803,7.6691747,3.1320465,6
3804,9.632941,2.5705554,11
3805,10.889745,3.5669427,1
3806,10.579808,3.331498,24
3807,12.53267,2.9646256,4
3808,9.408868,3.9910014,7
3809,10.851118,3.5453484,1
3810,9.819294,4.006559,21
3811,12.295411,4.9516993,19
3812,10.577511,5.6505785,18
3813,10.387784,4.5668073,26
3814,10.144688,5.3427763,18
3815,12.49763,4.4618607,19
3816,12.375603,4.787521,19
3817,10.747149,3.2384243,23
3818,12.257962,4.2747703,19
3819,9.106795,3.4238944,7
3820,9.600554,2.8523862,11
3821,9.43544,2.8653634,11
3822,9.365855,5.1548524,21
3823,10.381067,4.1923413,24
3824,11.454554,4.491883,1
3825,10.421184,5.5967813,18
3826,9.735324,2.6133676,11
3828,9.9065,3.5375743,24
3829,11.530308,2.8864343,23
3830,9.447424,4.822325,24
3831,11.965481,3.828018,1
3832,10.975886,2.4659877,23
3833,10.094169,2.3593419,11
3834,10.039961,2.3538506,11
3835,12.023206,5.339189,7
3836,11.705731,4.9448686,1
3837,12.055766,5.2594457,19
3838,10.15155,3.5519977,24
3839,12.0871525,5.368621,22
3840,10.972492,2.7238522,23
3841,11.924528,4.692793,1
3842,10.598998,4.1962194,21
3843,10.000843,5.326501,18
3844,11.67628,4.8452325,19
3845,10.308523,3.5285017,14
3846,9.189433,4.790024,14
3847,10.916499,4.444248,1
3848,10.891151,4.5000477,1
3849,12.0905285,5.323323,22
3850,10.868623,3.0446355,23
3851,12.455452,4.4214487,19
3852,10.898846,3.6689072,1
3853,11.330841,4.338226,1
3854,11.534447,4.3076878,1
3855,12.026811,5.759774,22
3856,12.021355,4.5803037,19
3857,12.362719,5.785027,22
3858,9.284487,4.99259,21
3859,7.0803185,4.45348,10
3860,11.635809,5.09674,1
3861,12.559219,5.368214,19
3862,12.066379,5.527621,22
3863,11.13953,2.7734761,23
3864,8.881569,3.2880232,7
3865,8.732818,3.3863068,7
3866,10.393037,3.3250782,24
3867,9.613847,2.493689,11
3868,12.538459,4.9446387,19
3869,10.169975,4.4506216,24
3870,7.757338,3.0653658,6
3871,12.47948,2.9299364,4
3872,8.169423,2.9713218,6
3873,12.26602,3.0279117,4
3874,12.795057,2.721584,4
3875,11.092285,2.7147374,23
3876,11.727078,4.5769253,19
3877,8.8519,3.9391842,7
3878,10.247048,4.894332,26
3879,10.1995125,5.492218,18
