filename,cluster
3603_r.jpg,13
3604_r.jpg,8
3605_r.jpg,19
3606_r.jpg,5
3607_r.jpg,28
3608_r.jpg,18
3609_r.jpg,2
3610_r.jpg,23
3611_r.jpg,16
3612_r.jpg,4
3613_r.jpg,15
3614_r.jpg,4
3615_r.jpg,24
3616_r.jpg,24
3617_r.jpg,18
3618_r.jpg,11
3619_r.jpg,8
3620_r.jpg,6
3621_r.jpg,8
3622_r.jpg,15
3623_r.jpg,3
3624_r.jpg,18
3626_r.jpg,4
3627_r.jpg,8
3628_r.jpg,20
3629_r.jpg,3
3630_r.jpg,20
3631_r.jpg,11
3632_r.jpg,18
3633_r.jpg,14
3634_r.jpg,3
3635_r.jpg,3
3636_r.jpg,18
3637_r.jpg,8
3638_r.jpg,12
3639_r.jpg,2
3640_r.jpg,27
3641_r.jpg,15
3642_r.jpg,6
3643_r.jpg,24
3644_r.jpg,28
3645_r.jpg,24
3646_r.jpg,3
3647_r.jpg,19
3648_r.jpg,10
3649_r.jpg,5
3650_r.jpg,13
3651_r.jpg,8
3652_r.jpg,18
3653_r.jpg,3
3654_r.jpg,13
3655_r.jpg,13
3656_r.jpg,23
3657_r.jpg,16
3658_r.jpg,15
3659_r.jpg,19
3660_r.jpg,9
3661_r.jpg,23
3662_r.jpg,3
3663_r.jpg,23
3664_r.jpg,23
3665_r.jpg,6
3666_r.jpg,8
3667_r.jpg,3
3668_r.jpg,8
3669_r.jpg,19
3670_r.jpg,18
3672_r.jpg,4
3673_r.jpg,1
3674_r.jpg,19
3675_r.jpg,9
3676_r.jpg,1
3677_r.jpg,9
3678_r.jpg,1
3679_r.jpg,8
3680_r.jpg,19
3681_r.jpg,6
3682_r.jpg,19
3683_r.jpg,8
3684_r.jpg,9
3685_r.jpg,28
3686_r.jpg,8
3687_r.jpg,9
3688_r.jpg,19
3689_r.jpg,5
3690_r.jpg,24
3691_r.jpg,20
3692_r.jpg,8
3693_r.jpg,1
3694_r.jpg,11
3695_r.jpg,11
3696_r.jpg,11
3697_r.jpg,11
3698_r.jpg,9
3699_r.jpg,15
3700_r.jpg,24
3701_r.jpg,20
3702_r.jpg,2
3703_r.jpg,14
3704_r.jpg,11
3705_r.jpg,5
3706_r.jpg,4
3707_r.jpg,24
3708_r.jpg,4
3709_r.jpg,28
3710_r.jpg,13
3711_r.jpg,13
3712_r.jpg,13
3713_r.jpg,23
3714_r.jpg,13
3715_r.jpg,13
3716_r.jpg,24
3717_r.jpg,13
3718_r.jpg,11
3719_r.jpg,14
3720_r.jpg,13
3721_r.jpg,13
3722_r.jpg,13
3723_r.jpg,13
3724_r.jpg,16
3725_r.jpg,19
3726_r.jpg,8
3727_r.jpg,19
3728_r.jpg,10
3729_r.jpg,5
3730_r.jpg,18
3731_r.jpg,1
3732_r.jpg,9
3733_r.jpg,9
3734_r.jpg,16
3735_r.jpg,18
3736_r.jpg,5
3737_r.jpg,23
3738_r.jpg,15
3739_r.jpg,15
3740_r.jpg,15
3741_r.jpg,15
3742_r.jpg,8
3743_r.jpg,8
3744_r.jpg,19
3745_r.jpg,28
3746_r.jpg,4
3747_r.jpg,4
3748_r.jpg,18
3749_r.jpg,18
3750_r.jpg,5
3751_r.jpg,10
3752_r.jpg,3
3753_r.jpg,3
3754_r.jpg,8
3755_r.jpg,13
3756_r.jpg,4
3757_r.jpg,13
3758_r.jpg,11
3759_r.jpg,16
3760_r.jpg,8
3761_r.jpg,3
3762_r.jpg,14
3763_r.jpg,24
3764_r.jpg,19
3765_r.jpg,24
3766_r.jpg,13
3767_r.jpg,4
3768_r.jpg,15
3769_r.jpg,11
3770_r.jpg,5
3771_r.jpg,13
3772_r.jpg,1
3773_r.jpg,2
3774_r.jpg,8
3775_r.jpg,9
3776_r.jpg,1
3777_r.jpg,19
3778_r.jpg,19
3779_r.jpg,28
3780_r.jpg,8
3781_r.jpg,4
3782_r.jpg,10
3783_r.jpg,24
3784_r.jpg,10
3785_r.jpg,24
3786_r.jpg,4
3787_r.jpg,3
3788_r.jpg,16
3789_r.jpg,19
3790_r.jpg,28
3791_r.jpg,9
3792_r.jpg,13
3793_r.jpg,24
3794_r.jpg,24
3795_r.jpg,4
3796_r.jpg,28
3797_r.jpg,8
3798_r.jpg,24
3799_r.jpg,16
3800_r.jpg,11
3801_r.jpg,9
3802_r.jpg,23
3803_r.jpg,26
3804_r.jpg,10
3805_r.jpg,9
3806_r.jpg,15
3807_r.jpg,24
3808_r.jpg,19
3809_r.jpg,19
3810_r.jpg,4
3811_r.jpg,11
3812_r.jpg,8
3813_r.jpg,18
3814_r.jpg,28
3815_r.jpg,24
3816_r.jpg,20
3817_r.jpg,15
3818_r.jpg,3
3819_r.jpg,19
3820_r.jpg,6
3821_r.jpg,24
3822_r.jpg,10
3823_r.jpg,5
3824_r.jpg,6
3825_r.jpg,6
3826_r.jpg,15
3827_r.jpg,8
3828_r.jpg,19
3829_r.jpg,8
3830_r.jpg,18
3831_r.jpg,14
3832_r.jpg,10
3833_r.jpg,15
3834_r.jpg,16
3835_r.jpg,23
3836_r.jpg,23
3837_r.jpg,4
3838_r.jpg,23
3839_r.jpg,10
3840_r.jpg,10
3841_r.jpg,10
3842_r.jpg,16
3843_r.jpg,6
3844_r.jpg,13
3845_r.jpg,11
3846_r.jpg,15
3847_r.jpg,23
3848_r.jpg,16
3849_r.jpg,23
3850_r.jpg,8
3851_r.jpg,23
3852_r.jpg,11
3853_r.jpg,28
3854_r.jpg,13
3855_r.jpg,28
3856_r.jpg,13
3857_r.jpg,23
3858_r.jpg,6
3859_r.jpg,28
3860_r.jpg,28
3861_r.jpg,13
3862_r.jpg,11
3863_r.jpg,15
3864_r.jpg,6
3865_r.jpg,4
3866_r.jpg,23
3867_r.jpg,23
3868_r.jpg,3
3869_r.jpg,6
3870_r.jpg,10
3871_r.jpg,10
3872_r.jpg,13
3873_r.jpg,10
3874_r.jpg,13
3875_r.jpg,18
3876_r.jpg,23
3877_r.jpg,13
3878_r.jpg,8
3879_r.jpg,13
